task,occupation,company_count,company
"Adjust settings for format, page layout, line spacing, and other style requirements.",Word Processors and Typists,75,CoreCare; Langdock; Extend; AutoComputer; Clarion; Sola; Forage Mail; LinkGrep; CopyCat; Shift Health; Mintplex Labs; Poly; Skyvern; General Agency; Sidenote; Taskade; Velos; Automat; Aqua Voice; Workflow86; Adravision; Lamar Health; Akiflow; Stack AI; Dropbox; MailTime; Heron Data; Sapling.ai; Moonglow; PearAI; Pumpkin; Callback; Wattson Health; Thorntale; Elyos; Repacket; Motion; Tasker AI; Iambiq Technologies; Hatch; CambioML; Clara Labs; Paradigm; Dexterity; Lumina; Axiom.ai; MindFi; Credal.ai; Latent Space; Zuni; K-Scale Labs; Slite; VectorShift; Cue; Dev Tools AI; GoLinks; Warpdrive by Synthetic Minds; Basepilot; Autotab; Query Vary; Compose.ai; Willow; jo; Omni; Superagent; Vaero; Humand; Paratus Health; SciPhi; Stamp; Magic Loops; ElectroNeek; TamLabs; Luminai; Type
"Adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels.",Biofuels Production Managers,50,Outerport; PandasAI; GreenTally; Findly; AiSupervision; Orbiter; Parsewise; LineWise; Askdata; Ultra; HUD; IoTFlows Inc; Praxis AI; Vizy; Vespper; Elyos; Layerup; Axross Pte Ltd; The Forecasting Company; Lynx; Glimmer; Anthrogen; Paradigm; Iambiq Technologies; Tiny; TRACTIAN; Offstream; Raven; K-Scale Labs; Tenderd; AlphaWatch AI; Peppr AI; Poka Labs; kater.ai; Taktile; Basedash; 20n; Dime; Unravel Carbon; Ligo Biosciences; Asteroid; Cerrion; Dot; Carbic; Wild Moose; FirstIgnite; PowerX; Inkling; Palifer; Gecko Robotics
"Administer and score applicant and employee aptitude, personality, and interest assessment instruments.","Human Resources Assistants, Except Payroll and Timekeeping",99,Langdock; Extend; Lifted; Parsewise; Headstart; Dialect; Wattson Health; Trueplace; Friday; Motion; Hatch; CambioML; Andoria; Paradigm; MindFi; Credal.ai; Handl; Worklytics; Ponyrun; Slite; Dot; Lightscreen AI; Prophecy Sciences; SciPhi; Stamp; Dataherald; Jestor; Epsilla; AutoComputer; Reducto; Dropbox; Vybe; Clearest Health; Unthread; Sourceress; Repacket; Vora AI; Nimble; Pernell; Anasen; Iambiq Technologies; Clara Labs; Deel; Fathom; Aftercare; Peppr AI; FirstWork; Intellect; Juicebox; Willow; Happenstance; Regology; Onyx; Shift Health; CopyCat; eqtble; Interviewed; Spott; Sidenote; Askdata; Tailor-ED; MailTime; Monterey AI; Tasker AI; Humanly; DailyBot; camelAI; Zuni; Tetra; Dev Tools AI; Autotab; Bolto; Pragmatic Leaders (Ankai Inc); Tavus; Omni; Vovana; Swades AI; Shape; Apriora; Talentropy.ai; Stack AI; Gem; Heron Data; Harbera; PearAI; Pasito; Den; NextByte; Pyq AI; Onward; Nestor; Pyxai; Fountain; Manaflow; garten; Bemlo; Dover; ElectroNeek; Luminai
"Administer compensation, benefits, and performance management systems, and safety and recreation programs.",Human Resources Managers,107,Langdock; Extend; Lifted; Parsewise; Stellar; Headstart; Motion; Hatch; CambioML; Andoria; MindFi; Credal.ai; BotCity; Worklytics; Ponyrun; Nowadays; GoLinks; Lightscreen AI; Prophecy Sciences; SciPhi; Spinach AI; Jestor; Simplify; AutoComputer; Medicare Vox (fka Fair Square); Workflow86; Truora; Clearest Health; Callback; Unthread; Sourceress; Vora AI; Nimble; Anasen; Iambiq Technologies; Slidely AI; Clara Labs; Deel; Fathom; Aftercare; Peppr AI; FirstWork; Spoil; Clueso; Juicebox; Happenstance; Superagent; Regology; FirstIgnite; Onyx; PandasAI; CopyCat; eqtble; DianaHR; Interviewed; Taskade; Spott; General Agency; Askdata; Velos; Leena AI; CreatorOS; Tailor-ED; Vizy; Tasker AI; Lumina; Humanly; DailyBot; camelAI; Tetra; Bolto; Protex AI; Pragmatic Leaders (Ankai Inc); Omni; Redbird; Vovana; Magic Loops; Gluetrail; Contrario; Hirebolt; Gale; Findly; Shape; Talentropy.ai; inFeedo AI; HUD; Stack AI; Gem; Stardex; Pasito; Den; NextByte; Nestor; Pyxai; Valora; Fountain; Basepilot; Manaflow; Emi Labs; Serra; Defog.ai; Humand; garten; Bemlo; Dover; ElectroNeek; Apriora
Administer employee benefit plans.,Human Resources Specialists,140,Langdock; Lifted; LinkGrep; Zeit AI; Automat; Stellar; Headstart; Wattson Health; Layerup; Motion; Hatch; CambioML; Andoria; MindFi; Credal.ai; Worklytics; Ponyrun; Slite; kater.ai; Crew; GoLinks; Alaan; Lightscreen AI; Prophecy Sciences; Vaero; Stamp; Spinach AI; Dataherald; Jestor; Simplify; AutoComputer; Sola; Workflow86; Sennu AI; Truora; AXDRAFT; Fluently; Vybe; Snaptalent; Clearest Health; Unthread; Pinch; Sourceress; Vora AI; Nimble; Pernell; Anasen; Iambiq Technologies; Slidely AI; Clara Labs; Dexterity; EzDubs; Deel; Fathom; Peppr AI; FirstWork; Intellect; Spoil; Clueso; Juicebox; Willow; Happenstance; Onyx; YouShift; Type; CopyCat; eqtble; DianaHR; Interviewed; Brewit; Spott; Mintplex Labs; General Agency; Sidenote; Taskade; Velos; Askdata; Leena AI; CreatorOS; Tailor-ED; MailTime; Vizy; Tasker AI; Lumina; Axiom.ai; Symphony; Humanly; camelAI; VectorShift; Tetra; Rebolt; Warpdrive by Synthetic Minds; Autotab; Bolto; Query Vary; Pragmatic Leaders (Ankai Inc); Tavus; Vovana; Opencall.ai; Gluetrail; Magic Loops; Superunit; Contrario; Luminai; Hirebolt; Gale; CoffeeAI; Swades AI; Findly; Talentropy.ai; inFeedo AI; HUD; Akiflow; Stack AI; Gem; Heron Data; Stardex; Gumloop; Sapling.ai; Pasito; Den; NextByte; Pyq AI; Onward; Nestor; Brainbase; Pyxai; Fountain; Basedash; Basepilot; Moots AI; Manaflow; Emi Labs; Serra; Humand; garten; Bemlo; Dover; ElectroNeek; Apriora
"Administer internet or intranet infrastructure, including Web, file, and mail servers.",Web Administrators,162,Razorpay; Gauge; Langdock; Archbee; Nimbus; Bayes Impact; LinkGrep; Onlook; Pump.co; Skyvern; Quivr; Turing College; Variance; Simplex; Pumpkin; Parahelp; Elessar; T3 Chat (prev. Ping.gg); CambioML; Patched; Operative.sh; Axal; Credal.ai; Swayable; Blast; GoLinks; Middleware; Focus Buddy; Risotto; Trackingplan; FiddleCube; Wild Moose; Smyte; SciPhi; ZeroPath; Stamp; Vocode; Unusual; Next Caller; Overwatch; Langfuse; Parity; Reducto; ContraForce; Ovlo; EdgeBit; Cinder; Truora; Dropbox; Fluently; Frigade; Sift; Traces; Bankjoy; Liftigniter; Unthread; Vespper; Wildcard; Clara Labs; Freestyle; Dexterity; Sendbird; Sift Dev; Plivo; Airweave; Doctor Droid; Tile; Command AI; Asteroid; Happenstance; Zen99; Marketfox; Onyx; RocketLit; Sentiyen; Guide Labs; Revyl; Continue; Mintplex Labs; Watchsend; General Agency; Momentic; Capitol AI; Gecko Security; Keyri; Aqua Voice; Relvy AI; Caddie AI; Phind; Vizy; Intuned; ShopMyGPT.com; Securly; Kura AI; Tasker AI; Upfort; Tegon; Lumina; Telivy; Axiom.ai; Jazzberry; Raven Tech; CyberFend; Nara; A1Base; Dev Tools AI; Speck; Typedream; Dojah Inc; Warpdrive by Synthetic Minds; Bolto; Salt Security; Pulpix; Omni; Swiftype; Preflight; Magic Loops; NeoWize; Palifer; Ploomber; Chatfuel; SAMMY Labs; Shaped; Waydev; Roundtable; Escape; mutable.ai; Entangl; Branch AI; Instant Labs; LaunchFlow; Castle; Delve; SafetyKit; Gumloop; Promoted.ai; PearAI; Den; Bilanc; Cosine; Compra Rápida; Leaping; Lynx; Integuru; Lune; Nyckel; Algolia; Whirlscape; BricksAI; Strac; Traversal Networks; Chonkie; Basepilot; Kura; Asterisk; QueryPie; Patchwork; Keep; Hello Chair; Decipher AI; Paperspace; Browser Use
Administer online purchasing systems.,Purchasing Managers,151,"Langdock; Extend; Parsewise; Skyvern; Mentum; Stellar; Rider; Sendme, Inc; Dialect; Aden; Metreecs; Layerup; Motion; CambioML; Paradigm; Adri AI; Tiny; Credal.ai; Handl; BotCity; HumanLayer; Charge Robotics; Alpas; Nowports; kater.ai; Warpfy; Dot; Alaan; Mandel AI; SciPhi; Blink; Recurrency; Spinach AI; Seals AI; haddock; Revise Robotics; Jestor; AutoComputer; Kisan Network; Speedy Labs; Workflow86; Sweetspot; autone; Callback; SalesPatriot; Anasen; Iambiq Technologies; GovEagle; Clara Labs; Glimmer; Anglera; EARTH AI; Odo; Shelf Engine; Aftercare; Peppr AI; Powerhouse AI; RADAR; Namecard.ai; Tile; Hedgehog; Veryfi, Inc.; Asteroid; SprintAI; Provision; Superagent; FirstIgnite; OneStopKitchen; Onyx; WeReno; Karmen; Klarity; Shift Health; PandasAI; CopyCat; Taskade; General Agency; BeGo; Askdata; Velos; Astrix Health; General Trajectory; Maitian.ai; Robby Technologies; Candid; Relativity Space; Cartage; Vizy; Bild AI; Elyos; Tasker AI; TrackChain; Lumina; DailyBot; camelAI; DigiBuild; Taktile; Material Depot; Versable; RoboTire; Farmstead; Omni; Redbird; Magic Loops; Auro Robotics; SkydropX; Outerport; Findly; Inlet; Shape; Panora; Yondu; Vendora; Powerdocs; HUD; Guac; Tuesday; Stack AI; Hazel; Exosonic, Inc.; Den; The Forecasting Company; RiskCube; AutoPallet Robotics; Brainbase; Reworkd; RMFG; NanoNets; Paperplane; Linc.; askLio; Concourse; Brex; Fountain9; Valora; AlphaWatch AI; Sculpt; Basedash; GrubMarket; Basepilot; Manaflow; Patika; Merlin AI; Defog.ai; Flirtey (SkyDrop); Mashgin; Shipamax; Harper; Focal Systems; ElectroNeek; Inkling"
"Administer systems and programs to reduce loss, maintain inventory control, or increase safety.",Loss Prevention Managers,71,"Estimote, Inc.; AutoComputer; Ambient.ai; PandasAI; Alterya; Shape; Orbiter; Brewit; Conntour; Roundtable; Sidenote; MarketBrief; Velos; Vendora; outloud.ai; Stellar; AvairSense; Stack AI; Truora; Sift; autone; Traces; Vespper; Aura Vision; Friday; Motion; Anasen; MarqVision; CambioML; edgetrace; RiskCube; Corgi Labs; Lumina; Telivy; Corvus Robotics; Credal.ai; Upfort; Clara Labs; Berbix; Retape; Tenyks; camelAI; Raven; Taktile; Powerhouse AI; Dev Tools AI; Spade; RADAR; Basepilot; Tergle; Autotab; Prayas Analytics; Protex AI; SprintAI; Defog.ai; AmberBox Gunshot Detection; Mashgin; Carbic; Redbird; Harper; Observant AI; Focal Systems; Vaero; FirstIgnite; Verihubs; Rulebase; ApolloShield; Stamp; Inkling; Next Caller; Overwatch"
"Advise clients or respond to inquiries about financial matters in person or via phone, email, Web site, or Internet chat.",Credit Counselors,75,Extend; AutoComputer; Sola; Next Caller; PandasAI; CopyCat; Shape; Reducto; Brewit; Mintplex Labs; Zeit AI; General Agency; Sidenote; amiloz; Velos; Tranqui Finanzas; Aqua Voice; CreatorOS; HUD; Upsolve; Prodigal; Stack AI; Fluently; OmniAI; Heron Data; Leeroo; CozmoX AI; MailTime; Dialect; Wattson Health; Hatch; Simple AI; Elyos; Pernell; Tasker AI; Iambiq Technologies; The Forecasting Company; CambioML; Glimmer; Paradigm; Dexterity; Onward; AviaryAI; Pointwise; Symphony; RentFlow; Handl; Retape; Finosu; Zuni; Fathom; Ardis AI; Dev Tools AI; Winford Wealth; Airweave; Domu Technology Inc.; Senso; Basedash; Anasen; Basepilot; Autotab; Baubap; Asteroid; Defog.ai; Willow; Clara Labs; Superagent; FirstIgnite; SciPhi; Onyx; Stamp; Sei; Tributi; Luminai; Epsilla
Advise corporations or government agencies of procedures to follow in cleaning up contaminated sites to protect people and the environment.,Environmental Engineers,23,Pyka; Tailor-ED; Birch Biosciences; Pachama; Cedalio; Spark; Anthrogen; Offstream; Tenderd; Zeitview; May Mobility; SchemeFlow; Inevitable Tech; et al.; Nectar; Unravel Carbon; KorrAI; Carbic; Happenstance; Traverse Technologies; Regology; Astro; PowerX
"Advise customers concerning equipment operation, maintenance, or programming.","Computer, Automated Teller, and Office Machine Repairers",4,Lynx; Presto; Wild Moose; Palifer
"Advise customers on import and export restrictions, tariff systems, insurance requirements, quotas, or other customs-related matters.",Customs Brokers,55,Langdock; Extend; AutoComputer; CommodityAI; Sola; Kobo360; CopyCat; Reducto; Skyvern; General Agency; Velos; Automat; Workflow86; HUD; Fluently; Relativity Space; SkydropX; Leeroo; MailTime; Cartage; Gumloop; Callback; Wattson Health; Pinch; Elyos; Narrative; Pernell; Tasker AI; CambioML; TrackChain; Paradigm; Dexterity; Clara Labs; Axiom.ai; NanoNets; Pulse; Credal.ai; Handl; Linc.; Latent Space; Semantics3; VectorShift; Andi; Dev Tools AI; Nowports; Basepilot; Autotab; Flirtey (SkyDrop); Shipamax; Onyx; Stamp; Magic Loops; ElectroNeek; Luminai; Pax
"Advise licensees or other individuals or groups concerning licensing, permit, or passport regulations.",Compliance Officers,124,Greenboard; TRM Labs; Extend; Archbee; Parsewise; Skyvern; Automat; WorkDone; Dialect; Friday; Layerup; Motion; CambioML; Adri AI; Credal.ai; Handl; Curacel; Neosync; TrueClaim; Dot; FiddleCube; Galini; Vaero; SciPhi; Diligent; Epsilla; Overwatch; AutoComputer; Eloquent AI; Redouble AI; Authologic; Clearly AI; MarketBrief; Medicare Vox (fka Fair Square); Workflow86; Kyber; Openlayer; Cedalio; Clearest Health; Inkling; Thorntale; Iambiq Technologies; Clara Labs; Glimmer; Plutto; Deel; VoxOps AI; Greenlite; Latent Space; Offstream; Fathom; Luthor; Sphinx; Peppr AI; Kobalt Labs; et al.; Asteroid; Skypher; Hadrius; Willow; Aidy; Superagent; Regology; CombineHealth; FirstIgnite; Verihubs; Klarity; Affil.ai; Taskade; General Agency; Askdata; Velos; FurtherAI; Vizy; Shiboleth; Elyos; Tasker AI; Upfort; Summed AI; Armilla AI; Axiom.ai; G LNK; Cardamon; VectorShift; Taktile; Dev Tools AI; Tetra; Dojah Inc; Rescript; Autotab; Omni; Redbird; Paradome; Magic Loops; Sei; Flagright; Tire Swing; Outerport; Roundtable; Corgi; Fragment; HUD; Stream; Stack AI; Delve; Heron Data; Remo; Watto AI; Harbera; Pyq AI; AviaryAI; AlphaWatch AI; Strac; Basedash; Basepilot; Arva AI; Manaflow; Tergle; Parsagon; Two Dots; ElectroNeek; Fairway Health; Finic; Luminai
"Advise management regarding customer satisfaction, product performance, or suggestions for product improvements.","Electrical and Electronics Repairers, Commercial and Industrial Equipment",26,"Pyka; AiSupervision; LineWise; Entangl; Mars Auto; Nextera Robotics; Airmada; Relativity Space; IoTFlows Inc; Praxis AI; Exosonic, Inc.; Vespper; Axross Pte Ltd; Lynx; Estimote, Inc.; TRACTIAN; Gridware; numericcal, inc.; Raven; Dime; Radical; Presto; Wild Moose; HyLight; Palifer; Polymath Robotics"
"Advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards.","Dispatchers, Except Police, Fire, and Ambulance",82,"Langdock; Rider; Aden; Motion; Hatch; CambioML; Tenderd; Dexter; WareIQ; Blink; Struct; trebu; Next Caller; Sola; Cohere; Avallon AI; truemetrics; Vooma; Workflow86; LogisticsOS; Fluently; Repacket; Narrative; Calltree AI; Clara Labs; Freestyle; Sendbird; numericcal, inc.; Flux Auto; BoldVoice; Broccoli AI; Passenger AI; Dataland; Sameday; Cobbery; Kobo360; Vogent; Ambient.ai; Mosaix.ai; Taskade; BeGo; Phonely; Velos; Haven; Mars Auto; Robby Technologies; Cartage; Vizy; Zeo Route Planner; Elyos; Tasker AI; Bicycle AI; ShipBlu; TrackChain; Estimote, Inc.; Lumina; Retape; Dev Tools AI; TypeLess; Autotab; Auro Robotics; Palifer; Intelligent; SkydropX; Swades AI; Yondu; FleetWorks; HappyRobot; Echo Locker; Stack AI; Precip; PearAI; The Forecasting Company; Linc.; Atlas; Whirlscape; Faction; Retell AI; Shipamax; Humand; Javelin Robotics; Luminai"
